uid	Statement Number	Evaluation Block	Statement	Submitter	Source	Target	Generated Question	Rel_1	Rel_2	Rel_3	Relevance	QT_1	QT_2	QT_3	Question Type	Cor_1	Cor_2	Cor_3	Correctness	Amb_1	Amb_2	Amb_3	Ambiguity	Var_1	Var_2	Var_3	Variety
446	38	133	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	b	Wikipedia	why	Why did Congress pass a law that put investigations of deaths of federal officials within FBI jurisdiction? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
447	38	133	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	b	Wikipedia	what	To ensure that there would never be any more confusion over who would handle homicides at the federal level, what passed a law that put investigations of deaths of federal officials within FBI jurisdiction? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	3	3	3	3.00
448	38	134	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	c	Wikipedia	why	Why passed Congress a law that put investigations of deaths of federal officials within FBI jurisdiction ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	1	1	1.33	3	3	3	3.00
449	38	134	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	c	Wikipedia	what	What passed a law that put investigations of deaths of federal officials within FBI jurisdiction ? 	1	1	1	1.00	1	1	1	1.00	2	1	1	1.33	2	1	1	1.33	1	1	1	1.00
450	38	134	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	c	Wikipedia	what	What put investigations of deaths of federal officials ? 	2	2	2	2.00	1	1	1	1.00	3	4	4	3.67	2	2	3	2.33	1	1	1	1.00
451	38	135	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	d	Wikipedia	why	Why there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction? 	2	2	2	2.00	1	1	1	1.00	4	3	3	3.33	2	1	1	1.33	2	1	1	1.33
452	38	135	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	d	Wikipedia	why	Why there would never be any more confusion within FBI jurisdiction? 	2	2	2	2.00	1	1	1	1.00	2	1	3	2.00	2	2	2	2.00	2	1	1	1.33
453	38	135	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	d	Wikipedia	what	What goverment the federal level, put investigations within FBI jurisdiction? 	2	3	3	2.67	1	1	1	1.00	4	4	4	4.00	2	2	2	2.00	2	2	2	2.00
454	38	135	To ensure that there would never be any more confusion over who would handle homicides at the federal level, Congress passed a law that put investigations of deaths of federal officials within FBI jurisdiction.	d	Wikipedia	what	What goverment the federal level, Congress put investigations within jurisdiction? 	2	3	3	2.67	1	1	1	1.00	4	4	4	4.00	2	2	2	2.00	2	2	2	2.00
455	39	136	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	a	Wikipedia	what	What did Ocean Currentsses favor? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	3	3	3	3.00
456	39	136	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	a	Wikipedia	what	What did Ocean Currentsses favo	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	3	3	3	3.00
457	39	136	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	a	Wikipedia	when	What did Ocean Currentsses favor? 	1	1	1	1.00	2	2	2	2.00	3	3	3	3.00	2	1	2	1.67	3	3	3	3.00
458	39	136	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	a	Wikipedia	when	What did Ocean Currentsses favor? 	1	1	1	1.00	2	2	2	2.00	3	3	3	3.00	2	1	2	1.67	3	3	3	3.00
459	39	136	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	a	Wikipedia	where	Where is Madagascar? 	3	2	3	2.67	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	3	3	3	3.00
460	39	136	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	a	Wikipedia	where	Where is Madagascar? 	3	2	3	2.67	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	3	3	3	3.00
461	39	137	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	b	Wikipedia	what	What arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	1	1	1	1.00	1	1	1	1.00
462	39	137	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	b	Wikipedia	what	On what did lemurs arrived in Madagascar approximately 62 to 65 mya by rafting at a time when ocean currents favored oceanic dispersal to the island? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	1	1	1	1.00
463	39	137	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	b	Wikipedia	when	When did lemurs arrive in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time? 	1	2	2	1.67	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	3	3	3	3.00
464	39	137	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	b	Wikipedia	where	Where did lemurs arrive approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
465	39	138	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	c	Wikipedia	when	when Lemurs arrived ? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	1	1	1.33
466	39	138	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	c	Wikipedia	when	when by rafting on mats of vegetation ? 	3	1	3	2.33	1	1	1	1.00	4	4	4	4.00	3	2	3	2.67	2	1	1	1.33
467	39	138	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	c	Wikipedia	where	where arrived in Madagascar ? 	3	2	3	2.67	1	1	1	1.00	4	3	4	3.67	3	2	3	2.67	1	1	1	1.00
468	39	138	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	c	Wikipedia	where	where by rafting on mats of vegetation ? 	3	1	3	2.33	1	1	1	1.00	4	4	4	4.00	3	2	3	2.67	1	1	1	1.00
469	39	138	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	c	Wikipedia	what	What rafting on mats of vegetation ? 	3	1	3	2.33	1	1	1	1.00	4	4	4	4.00	3	2	3	2.67	1	1	1	1.00
470	39	138	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	c	Wikipedia	what	What favored oceanic dispersal ? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	1	2	2	1.67	1	1	1	1.00
471	39	139	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	d	Wikipedia	what	Lemurs arrived in Madagascar approximately 62 to what stock index mya? 	3	2	2	2.33	1	1	1	1.00	3	3	4	3.33	2	2	2	2.00	2	2	2	2.00
472	39	139	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	d	Wikipedia	what	What stock index Lemurs arrived? 	3	2	2	2.33	1	1	1	1.00	3	3	4	3.33	3	2	2	2.33	2	2	2	2.00
473	39	139	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	d	Wikipedia	where	Where Lemurs arrived? 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	3	3	2.67	2	2	2	2.00
474	39	139	Lemurs arrived in Madagascar approximately 62 to 65 mya by rafting on mats of vegetation at a time when ocean currents favored oceanic dispersal to the island.	d	Wikipedia	where	Lemurs arrived where? 	1	1	1	1.00	1	1	1	1.00	1	3	2	2.00	1	3	2	2.00	2	2	2	2.00
475	40	140	The main cause of variation is mutation, which changes the sequence of a gene.	a	Wikipedia	what	What changes the sequence of a gene? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
476	40	140	The main cause of variation is mutation, which changes the sequence of a gene.	a	Wikipedia	what	What is the main cause of variation? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
477	40	141	The main cause of variation is mutation, which changes the sequence of a gene.	b	Wikipedia	what	What is mutation, which changes the sequence of a gene? 	2	2	2	2.00	1	1	1	1.00	2	1	2	1.67	2	2	2	2.00	1	1	1	1.00
478	40	141	The main cause of variation is mutation, which changes the sequence of a gene.	b	Wikipedia	what	What is the main cause of variation? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00
479	40	142	The main cause of variation is mutation, which changes the sequence of a gene.	c	Wikipedia	what	What changes the sequence of a gene ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
480	40	143	The main cause of variation is mutation, which changes the sequence of a gene.	d	Wikipedia	what	What is mutation, which changes the sequence of a gene? 	2	2	2	2.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00
481	40	143	The main cause of variation is mutation, which changes the sequence of a gene.	d	Wikipedia	what	What changes the sequence of a gene? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00
482	41	144	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	a	Wikipedia	where	Where is Borneo? 	3	3	3	3.00	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	3	3	3	3.00
483	41	144	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	a	Wikipedia	where	Where is Borneo? 	3	3	3	3.00	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	3	3	3	3.00
484	41	144	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	a	Wikipedia	how many	About how many of Borneo's is Land Mass? 	2	3	3	2.67	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	3	3	3	3.00
485	41	144	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	a	Wikipedia	how many	About how many of Borneo's is Land Mass? 	2	3	3	2.67	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	3	3	3	3.00
486	41	145	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	b	Wikipedia	how many	How many percent of Borneo 's land mass does the sovereign state of Brunei comprise? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
487	41	146	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	c	Wikipedia	where	where located The sovereign state of Brunei ? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	1	1	1	1.00	1	1	1	1.00
488	41	146	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	c	Wikipedia	where	What percentage % of Borneo's land mass comprises about ? 	2	1	1	1.33	2	2	2	2.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
489	41	147	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	d	Wikipedia	how many	The sovereign state comprises about how many percent of Borneo s land mass? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00
490	41	147	The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land mass.	d	Wikipedia	how many	The sovereign state comprises about how many percent? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00	2	2	2	2.00
491	42	148	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	a	Wikipedia	which	Which person's office did a Oak Tree stand outside? 	1	1	1	1.00	1	1	1	1.00	1	1	3	1.67	1	1	1	1.00	1	1	1	1.00
492	42	148	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	a	Wikipedia	which	The language went up by which person and ended later renamed from a list of random words as Java? 	1	2	2	1.67	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	1	1	1	1.00
493	42	148	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	a	Wikipedia	yes/no	Was the name from a list of random words ended up? 	1	2	2	1.67	1	1	1	1.00	2	3	3	2.67	3	2	2	2.33	1	1	1	1.00
494	42	148	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	a	Wikipedia	yes/no	Did a Oak Tree stand outside Gosling's office? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	1	1	1	1.00
495	42	149	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	b	Wikipedia	which	The language, initially called Oak after which tree that stood outside Gosling 's office, also went by the name Green and ended up later renamed as Java, from a list of random words? 	1	1	1	1.00	1	1	1	1.00	2	2	3	2.33	1	1	1	1.00	3	3	3	3.00
496	42	150	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	c	Wikipedia	which	The language , initially called Oak after which tree that stood outside Gosling's office , also went by the name Green and ended up later renamed as Java , from a list of random words ? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	1	1	1	1.00
497	42	150	The language, initially called Oak after an oak tree that stood outside Gosling's office, also went by the name Green and ended up later renamed as Java, from a list of random words.	c	Wikipedia	which	The language , initially called Oak after an oak tree that stood outside Gosling's office , also went by which Green and ended up later renamed as Java , from a list of random words ? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	1	1	1	1.00
498	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	when	What occurs to the allocated buffer when checking data written to a buffer due to insufficient bounds corrupts data values in memory addresses adjacent? 	2	2	1	1.67	2	2	2	2.00	3	4	4	3.67	2	2	2	2.00	3	1	1	1.67
499	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	when	What corrupts data values? 	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	1	3	3	2.33	3	1	1	1.67
500	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	which	A buffer overflow occurs when data written checking to a buffer due to insufficient bounds corrupts data values in, which place memory addresses adjacent to the allocated buffer? 	2	2	1	1.67	1	1	1	1.00	4	4	4	4.00	2	2	2	2.00	2	2	2	2.00
501	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	which	Memory addresses adjacent to the allocated buffer, a buffer, overflow occurs when checking data written to which place due to insufficient bounds corrupts data values in? 	2	2	1	1.67	1	1	1	1.00	4	4	4	4.00	2	2	2	2.00	2	2	2	2.00
502	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	what	What occurs to the allocated buffer when checking data written to a buffer due to insufficient bounds corrupts data values in memory addresses adjacent? 	2	2	1	1.67	1	1	1	1.00	2	3	4	3.00	2	2	2	2.00	2	1	1	1.33
503	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	what	What corrupts data values? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	3	3	2.33	2	1	1	1.33
504	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	why	Why does overflow occur? 	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	1	3	3	2.33	1	1	1	1.00
505	43	151	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	a	Wikipedia	why	Why does data corrupt data values? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	2	2	1.67	1	1	1	1.00
506	43	152	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	b	Wikipedia	when	When does a buffer overflow occur? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
507	43	152	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	b	Wikipedia	which	Which overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
508	43	152	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	b	Wikipedia	why	Why does A buffer overflow occur? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
509	43	153	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	c	Wikipedia	when	when a buffer overflow occurs ? 	3	1	1	1.67	1	1	1	1.00	3	3	3	3.00	2	1	1	1.33	3	3	3	3.00
510	43	153	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	c	Wikipedia	why	Why occurs a buffer overflow ? 	2	1	1	1.33	1	1	1	1.00	2	3	3	2.67	2	1	1	1.33	3	3	3	3.00
511	43	153	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	c	Wikipedia	which	which overflow occurs when data written to a buffer , due to insufficient bounds checking , corrupts data values in memory addresses adjacent to the allocated buffer ? 	1	1	1	1.00	1	1	1	1.00	1	1	2	1.33	1	1	1	1.00	1	1	1	1.00
512	43	153	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	c	Wikipedia	which	A buffer overflow occurs when data written to which , due to insufficient bounds checking , corrupts data values in memory addresses adjacent to the allocated buffer ? 	1	2	2	1.67	1	1	1	1.00	3	4	4	3.67	1	2	2	1.67	1	1	1	1.00
513	43	153	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	c	Wikipedia	what	What corrupts data values ? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	3	3	3	3.00
514	43	154	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	d	Wikipedia	what	What occurs when data written checking, corrupts data values in memory addresses adjacent to the allocated buffer? 	2	2	2	2.00	1	1	1	1.00	4	4	4	4.00	2	1	1	1.33	2	1	1	1.33
515	43	154	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	d	Wikipedia	what	What occurs when data written checking, corrupts data value? 	2	2	2	2.00	1	1	1	1.00	4	4	4	4.00	2	1	1	1.33	2	1	1	1.33
516	43	154	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	d	Wikipedia	why	Why a buffer overflow occurs when data written checking, corrupts data values? 	2	2	2	2.00	1	1	1	1.00	4	4	4	4.00	2	1	1	1.33	2	2	2	2.00
517	43	154	A buffer overflow occurs when data written to a buffer, due to insufficient bounds checking, corrupts data values in memory addresses adjacent to the allocated buffer.	d	Wikipedia	why	A buffer overflow occurs when data written checking, corrupts data values why? 	2	2	2	2.00	1	1	1	1.00	4	4	4	4.00	2	1	1	1.33	2	2	2	2.00
518	44	155	The strength of the depletion zone electric field increases as the reverse-bias voltage increases.	a	Wikipedia	yes/no	Does the strength of Electric Field increase as the reverse bias voltage increases? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
519	44	155	The strength of the depletion zone electric field increases as the reverse-bias voltage increases.	a	Wikipedia	yes/no	Does the strength of Electric Field increase as the reverse bias voltage increases? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
520	44	155	The strength of the depletion zone electric field increases as the reverse-bias voltage increases.	a	Wikipedia	what	What increases as the voltage reverse bias increases? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00
521	44	155	The strength of the depletion zone electric field increases as the reverse-bias voltage increases.	a	Wikipedia	what	The strength of what increases as the voltage reverse bias increases? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	2	2	2	2.00
522	44	156	The strength of the depletion zone electric field increases as the reverse-bias voltage increases.	c	Wikipedia	yes/no	Are The strength of the depletion zone electric field increases as the reverse-bias voltage increases ? 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	1	1	1.33	3	3	3	3.00
523	45	157	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	a	Wikipedia	when	When did Locke grow up? 	1	2	2	1.67	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	2	2	2	2.00
524	45	157	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	a	Wikipedia	when	Up when did Locke grow? 	2	2	2	2.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	2	2	2	2.00
525	45	157	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	a	Wikipedia	where	Where did Locke grow up? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	2	2	2	2.00
526	45	157	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	a	Wikipedia	where	Up where did Locke grow? 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	2	1	1.67	2	2	2	2.00
527	45	158	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	b	Wikipedia	when	When the family moved to the market town of Pensford , about seven miles south of Bristol? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	3	3	3	3.00
528	45	158	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	b	Wikipedia	where	Where did the family move to the market town of Pensford , about seven miles south of Bristol , where Locke grew up in a rural Tudor house in Belluton? 	1	2	2	1.67	1	1	1	1.00	4	4	4	4.00	1	2	2	1.67	2	2	2	2.00
529	45	158	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	b	Wikipedia	where	Where the family moved? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	2	3	3	2.67	2	2	2	2.00
530	45	159	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	c	Wikipedia	when	when the family moved ? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	3	3	3	3.00	1	1	1	1.00
531	45	159	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	c	Wikipedia	when	when the market town of Pensford , about seven miles south of Bristol ? 	3	2	2	2.33	1	1	1	1.00	4	3	3	3.33	3	2	2	2.33	1	1	1	1.00
532	45	159	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	c	Wikipedia	where	where soon after Locke's birth , the family moved ? 	1	1	1	1.00	1	1	1	1.00	2	3	3	2.67	2	2	2	2.00	1	1	1	1.00
533	45	159	Soon after Locke's birth, the family moved to the market town of Pensford, about seven miles south of Bristol, where Locke grew up in a rural Tudor house in Belluton.	c	Wikipedia	where	where the market town of Pensford , about seven miles south of Bristol ? 	3	2	2	2.33	1	1	1	1.00	3	3	3	3.00	2	2	2	2.00	1	1	1	1.00
534	46	160	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	a	Wikipedia	how many	Suffering nearly how many casualties many Somerset soldiers died with the Somerset Light Infantry during the First World War? 	2	1	1	1.33	1	1	1	1.00	3	3	3	3.00	2	1	1	1.33	1	1	1	1.00
535	46	160	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	a	Wikipedia	how many	Nearly how many casualties was the Somerset Light Infantry suffering? 	2	2	2	2.00	1	1	1	1.00	2	1	2	1.67	2	1	1	1.33	1	1	1	1.00
536	46	160	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	a	Wikipedia	which	What place did many Somerset soldiers die during the First World War with suffering nearly 5,000 casualties? 	3	2	2	2.33	2	2	2	2.00	3	3	3	3.00	2	1	1	1.33	2	2	2	2.00
537	46	160	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	a	Wikipedia	which	What place did soldiers die with during the First World War? 	3	2	2	2.33	2	2	2	2.00	2	1	4	2.33	2	2	2	2.00	2	2	2	2.00
538	46	161	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	c	Wikipedia	how many	How many casualties with the Somerset Light Infantry suffering ? 	2	1	1	1.33	1	1	1	1.00	2	3	3	2.67	2	2	3	2.33	3	3	3	3.00
539	46	161	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	c	Wikipedia	which	which soldiers died during the First World War , with the Somerset Light Infantry suffering nearly 5,000 casualties ? 	1	1	1	1.00	1	1	1	1.00	2	2	2	2.00	1	1	1	1.00	1	1	1	1.00
540	46	161	Many Somerset soldiers died during the First World War, with the Somerset Light Infantry suffering nearly 5,000 casualties.	c	Wikipedia	which	Many Somerset soldiers died during which War , with the Somerset Light Infantry suffering nearly 5,000 casualties ? 	1	1	1	1.00	1	1	1	1.00	1	2	3	2.00	1	1	1	1.00	1	1	1	1.00
